wallId,groupIndex,connection,clue1,clue2,clue3,clue4
1,1,Music Magazines,Billboard,Gaffa,NME,Metal Hammer
1,2,Advertising Mediums,Television,Radio,Blimp,Popup
1,3,Mixed Etymology Greek Latin,Antacid,Bigamy,Petroleum,Minneapolis
1,4,Contain Injuries,Cute,Unwound,Stabilise,Breakfast
2,1,Sins in Corinthians,Boasting,Drunkeness,Effeminacy,Fleshliness
2,2,Not real words,Refudiate,Unhabitable,Runner-Ups,Themself
2,3,Right wing Buzzwords,Woke,Cultural Marxism,Soyboy,Job Creators
2,4,Contain Musicians,Firepink,Backslash,Carbonous,Resealed
3,1,Perfume Houses,Janeiro,Cologne,Gaultier,Chemistry
3,2,Premium Cured Hams,Parma,Iberico,Jabugo,Presunto
3,3,South Americal Capitals,Montevideo,Cayenne,Lima,Georgetown
3,4,Beans,Navy,Kidney,Adzuki,Black
4,1,Start with Birds,Wrench,Crowd,Titular,Gullable
4,2,DIY Tools,Kango,Plier,Hammer,Plunger
4,3,Vodka Cocktails,Screwdriver,Wallbanger,Esquire,Cosmopolitan
4,4,Hip Hop Genres,Nerdcore,Trap,Crunk,Drill
5,1,Ground_,Hog,Zero,Control,Ginger
5,2,Parts of a ship,Sport,Elbow,Cistern,Master
5,3,Synonyms,Posh,Chic,Grand,Fancy
5,4,Fictional Pigs,Babe,Hen-Wen,Napoleon,Hamm
6,1,Add _ium,Hel,German,Titan,Thor
6,2,Words for Mud,Sod,Dirt,Muck,Silt
6,3,Pokemon,Mew,Grimer,Persian,Haunter
6,4,Helmets,Kabuto,Sallet,Barbute,Kettle
7,1,Moon Deities,Khonsu,Tsukuyomi,Diana,Selen
7,2,Princesses,Pingyang,Grace Kelly, Anne, Nefertiti
7,3,Helena Bonham Carter,Red Queen,Marla,Margaret,Bellatrix
7,4,Doubling Letter makes New,Fury,Ruble,Mary,Coral
8,1,Hugh Laurie,Wooster,House,Horace,George IV
8,2,-Shire,Che,Berk,Wilt,Derby
8,3,Revolutionaries,Vladimir,Fidel,Mahatma,Rosa
8,4,Can be beaten,Egg,Odds,Cancer,Drum
9,1,_scape,E,Rune,Hell,Land
9,2,Can be sharp,F,Razor,Wit,Najdorf Opening
9,3,Three Dots,S,Ellipsis,Therefore,Predator's Laser
9,4,Inherited Title,Q,M,Nicholas Kerensky,Caeser
10,1,Cardinals,Pride,Richelieu,Northern,West
10,2,US State Birds,Bananaquit,Yellowhammer,Oriole,Nēnē
10,3,The Great,Wall,Houdini,War,Escape
10,4,Pidgin Languages,Tok Pisin,Tinglish,Bamboo English,Nefamese
11,1,UK Patron Saints,David,Patrick,George,Andrew
11,2,Not Regnal Name,Alexandrina,Albert,Albert,Gaius
11,3,Merlin TV Show,Uther,Nimueh,Morgan Le Fey,Kilgharrah
11,4,Dragons,Al Tinnin,Ryujin,Gaasyendietha,Tiamat
12,1,Giants,Goliath,Hagrid,Gogmagog,Runt
12,2,Florida Cities,Miami,Hialeah,Miramar,Tallahasse
12,3,Former Countries,Burma,Swaziland,Ceylon,Siam
12,4,Biblical Kings,David,Jeroboam,Saul,Solomon
13,1,Shires,Shrop,Flint,Bedford,Wilt
13,2,Dictionaries,Oxford,Erya,Collins,Merriam-Webster
13,3,American Cars,Lincoln,Tesla,Cadilac,Packard
13,4,British Horse Races,Derby,One Thousand Guineas,Oaks,Saint Leger
14,1,French Departments,Cher,Calvados,Ardennes,Nord
14,2,Female Signers,Adele,Madonna,Pink,Selena
14,3,VPN Services,Proton,Surfshark,Express,Mullvad
14,4,Patisserie Creams,Anglaise,Sabayon,Diplomat,Frangipane
15,1,Film Crew,Grip,Gaffer,Actor,Boom
15,2,Cattle_,Grid,Drive,Prod,Ranch
15,3,Add a D,Grin,Tone,Lair,Weir
15,4,Synonyms,Grit,Mettle,Nerve,Huspah
16,1,Start with Insults,Simplify,Cuckoo,Weeble,Stanchion
16,2,Mathematical Operators,Linear,Gradient,Divergence,Curl
16,3,Made into Chips,Wood,Potato,Silicon,Paint
16,4,Triangles,Prada,Delta,Bermuda,Illuminati
17,1,Black_,Death,Butler,Adder,Selena
17,2,Ships in Elite,Dolphin,Anaconda,Sidewinder,ViperMkIII
17,3,Compass Anagrams,Thorn,Shout,Teas,Stew
17,4,Visored (Bleach),Love,Lisa,Shinji,Kensei
18,1,_Zero,Sub,Ground,Patient,Alpha
18,2,Girl's Names Inside,Canal,Level,Smely,Trend
18,3,'Way' Translations,Iter,Dao,Do,Vojo
18,4,Nuclear Power Stations,Bruce,Salem,Sizewell-B,Leningrad
19,1,Digital Agents Missing Letter,Oogle,Sir,Alex,Cortan
19,2,Eevelutions,Jolt,Leaf,Vapor,Esp
19,3,Psychic Powers,Prophecy,Telekenisis,Astral Projection,Xenoglossy
19,4,Titles,Esq,Messrs,Hon,Gen
20,1,Espada Zanpakuto,Pantera,Los Lobos,Arroganta,Santa Teresa
20,2,Lamborghinis,Mucrielago,Gallardo,Diablo,Countach
20,3,Diablo Bosses,Rift Guardian,Azmodan,Malthael,The Butcher
20,4,90s Metal,Korn,Tool,Slipknot,Slayer
21,1,Crown Actors,Helena,Olivia,Matt,John
21,2,UK Patron Saints,David,Patrick,George,Andrew
21,3,Supermarket Fashion,Nutmeg,Anyday,Tu,F+F
21,4,Five Spice,Fennel,Star Anise,Cloves,Cinnamon
22,1,Can Be Ridden,Tails,Horses,Waves,Highs
22,2,Sonic Characters,Shadow,Amy Rose,Knuckles,Tikal
22,3,Beastie Boys Hits,Sabotage,No Sleep Til Brookyln,Intergalactic,Fight For Your Right
22,4,Cancelled Sci Fi,Firefly,Battlestar Galactica,Alien Nation,The Cape
23,1,Add Silent Letter,Not,Now,Night,Ring
23,2,Things People Burn,Effigy,Bridges,Fat,Rubber
23,3,Jeffs,Bezos,Lowe,Goldblum,Beck
23,4,Goa'uld,Ashrak,Kree,Shol'Va,Tek'Ma'Ta
24,1,Phonetic Words,SKP,XTC,NTT,LOP
24,2,Internet Abbr.,OMG,IDC,BRB,IMO
24,3,Airport Codes,LAX,SIN,CDG,IAD
24,4,Add S---S,IXE,KI,ONG,TAR
25,1,Unsolved Math,Hilbert,Landau,Smale,Simon
25,2,Red Dwarf,Arnold,Dave,Cat,Kryten
25,3,Legionairy Gear,Gladius,Pilum,Scutum,Galea
25,4,Add Letter Music Genres,Ouse,Rime,Etal,Hilstep
26,1,Cursed Places,Roanoake Island,Naaru,Centralia,Eilean Mor
26,2,Lilo and Stitch, Nani,Jumba,Pleakley,Captain Gantu
26,3,Anime Terms,Itai,Baka,Tsundere,Kudere
26,4,Fusion Reactors,Iter,Jet,Quest,Hidra
27,1,Borderlands,Torgue,Dahl,Maliwan,Tediore
27,2,Things to Navitage By,Atlas,Charts,Stars,Compass
27,3,Greek Titans,Hyperion,Cronus,Rhea,Tethys
27,4,One Arm,Bandit,Rick Allen,127 Hours,The Law
28,1,London Underground,Blackfriars,Angel,Earl's Court,Knightsbridge
28,2,Christian Mythology,Behemoth,Chol,Re'em,Tarasque
28,3,Sandford PD,Butterman,Thatcher,Fisher,Turner
28,4,Hebrew Texts,Leningrad,Aleppo,Cairensis,Severus Scroll
29,1,Missiles,Cruise,Hunter-Seeker,Ballistic,Guided
29,2,Chinese Dynasties,Homing,Tangy,Handy,Songbird
29,3,Messy,Topsy-Turvy,Greedy,Bump
29,4,Dune Tech,Ornithopter,Thumper,Stillsuit,Ixian Probe
30,1,Imperial Guard,Leman Russ,Manticore,Basilisk,Sentinel
30,2,Lookouts,Warden,Custodian,Guard,Picket
30,3,Types of Dog,Junkyard,Guide,Service,Sniffer
30,4,Naval Classes,Minehunter,Helicarrier,Corvette,Cruiser
31,1,Add a letter homes,Manson,Hose,State,Caste
31,2,Cult Leaders,Asahara,Applewhite,Koresh,Rajneesh
31,3,Butterflies,Monarch,Island Marble,Duke of Burgundy,Painted Lady
31,4,Types of Territory,Exclave,Province,Fief,Dominion
32,1,Assassin's Creeds,Origins,Syndicate,Bloodlines,Revelations
32,2,Old Testaments,Numbers,Exodus,Malachi,Ruth
32,3,Gavin & Stacy Cast,Joanna,Mathew,Rob,Larry
32,4,Criminal Orgs,Mafia,Cabal,Yakuza,Triad
33,1,Love_,Craft,Sick,Bite,Able
33,2,Words for Police,Flatfoot,Rozzer,Bobby,Copper
33,3,Famous Michaels,Fox,Cera,Jackson,The Archangel
33,4,Chinese Zodiac,Pig,Dragon,Rabbit,Rat
34,1,Doesn't Exist,Nessie,R'lyeh,$3 Bill,Yeren
34,2,Polyamory Terms,Unicorn,Nesting,Dragon,Triad
34,3,Add a letter Elements,Ismuth,Ron,Old,Eon
34,4,Gryfindors,Seamus,Hermione,Harry,Neville
35,1,Fictional Lions,Aslan,Kimba,Cecil,Alex
35,2,Anagrams of Car Parts,Thauxes,Iter,Gwin,Baker
35,3,Diablo 3 Bosses,Butcher,Malthael,Adria,Azmodan
35,4,Trades,Wainright,Fletcher,Farrier,Tanner
36,1,Englishified Sauruses,Cover,Tyrant King,Other,Spine
36,2,Add a letter Flowers,Roe,Amellia,Holy,Lots
36,3,Seas,Sargasso,Arabian,Black,Aegean
36,4,70s Show,Jackie,Red,Lauria,Midge

